Numero,ID,tempo_attesa,ingr_principale,t_prep,urgenza,numero_ordine_eff,t_coda,priorita_iniz,priorita_fin
67,1625,136.641,PASTA,35,false,2,89,38,46
68,3160,199.032,PASTA,11,false,3,154,24,49
69,9802,122.67,PESCE,29,true,3,9,58,44
70,3375,118.567,RISO,12,false,5,106,34,40
71,4315,156.184,CARNE,58,false,2,8,48,36
72,2574,137.653,PESCE,50,true,5,14,49,44
73,9493,74.312,PASTA,53,true,4,7,69,52
74,5685,46.007,RISO,35,true,1,10,90,69
75,5313,207.694,CARNE,44,false,2,18,35,33
76,2697,163.87,PESCE,51,true,5,19,50,45
77,8474,183.635,CARNE,41,true,5,35,52,43
78,4922,145.429,PASTA,56,false,3,38,48,41
79,9950,317.537,CARNE,45,false,5,138,27,39
80,3206,169.408,PESCE,58,false,1,13,53,46
81,3597,51.782,PASTA,51,false,2,0,65,49
82,1482,194.132,PESCE,20,true,5,19,44,36
83,5298,150.098,CARNE,42,true,2,6,68,51
84,9498,88.52,RISO,56,false,4,32,57,45
85,3589,89.311,PASTA,57,true,4,13,77,58
86,9627,208.274,PESCE,55,false,1,33,45,43
87,2411,212.738,CARNE,56,true,5,15,58,45
88,3559,298.561,PESCE,17,false,5,114,16,23
89,6877,83.852,RISO,47,true,2,14,83,64
90,1573,40.956,RISO,13,true,2,14,70,54
91,8546,96.417,PASTA,45,false,3,51,51,50
92,6603,206.273,CARNE,32,true,4,27,47,38
93,5094,185.858,PESCE,38,true,2,5,60,45
94,7565,148.944,CARNE,35,true,1,4,70,53
95,8262,64.314,RISO,43,true,4,8,65,49
96,7789,99.51,PASTA,41,false,2,57,54,47
97,8079,257.647,CARNE,14,false,1,157,28,47
98,9403,201.452,PESCE,58,true,3,35,56,51
99,9451,298.308,CARNE,35,false,3,185,27,45
100,1794,194.433,PASTA,51,false,5,103,43,46
101,8696,274.107,PESCE,35,true,4,110,48,51
102,5283,64.626,RISO,35,false,4,29,42,40
103,3467,316.129,PESCE,25,false,5,200,6,45
104,6323,108.83,PASTA,50,true,4,5,68,51
105,4789,144.853,CARNE,57,true,4,4,57,43
106,7257,166.629,PESCE,28,true,4,54,52,47
107,8418,134.504,PASTA,19,true,3,26,60,49
108,7521,219.892,CARNE,23,true,5,94,45,47
109,1227,460.483,PESCE,22,false,4,370,23,42
110,9036,99.011,RISO,38,false,3,60,48,48
111,5870,123.279,RISO,10,false,2,86,42,47
112,6514,90.46,CARNE,33,true,2,20,71,55
113,9715,129.699,PASTA,44,true,5,17,54,42
114,1623,94.308,CARNE,16,true,4,46,47,46
115,2008,71.298,RISO,37,true,1,19,77,61
116,9978,142.988,PASTA,26,true,1,14,66,51
117,2346,287.309,PESCE,59,false,5,194,20,55
118,2451,146.553,RISO,18,false,2,99,45,47
119,3378,121.93,CARNE,50,true,3,41,73,58
120,9860,72.419,RISO,25,true,1,30,73,57
121,2282,191.173,PASTA,58,true,3,7,69,52
122,2039,165.062,PESCE,55,true,4,37,63,57
123,7752,144.256,CARNE,42,true,5,54,59,57
124,4822,335.574,PASTA,19,false,3,222,40,45
125,1756,280.516,CARNE,13,false,3,197,25,48
126,3955,89.654,RISO,47,true,2,18,76,59
127,7084,267.549,PESCE,49,false,5,134,29,45
128,5767,320.786,PASTA,39,false,4,206,37,52
129,4605,147.549,CARNE,36,false,3,110,40,55
130,5554,174.227,RISO,44,false,3,99,44,51
131,5904,190.099,PASTA,26,true,5,110,40,49
132,8055,124.471,RISO,14,true,3,55,58,50
133,1178,148.431,PESCE,42,true,3,31,69,55
134,4429,181.383,PASTA,26,true,5,103,46,53
135,1517,141.759,CARNE,47,false,1,75,55,54
136,5422,209.451,PESCE,44,true,3,58,64,59
137,5727,91.554,RISO,49,true,2,25,77,61
138,9535,198.355,PESCE,11,true,1,68,60,53
139,1767,183.02,PASTA,51,true,5,80,56,53
140,4946,114.042,CARNE,47,true,1,39,81,70
141,4842,86.543,CARNE,11,true,1,28,67,54
142,7870,165.291,PASTA,21,true,3,77,54,56
143,2252,190.368,PESCE,43,true,4,75,52,53
144,7485,121.679,RISO,56,true,4,11,70,53
145,7176,331.336,PESCE,30,false,3,258,38,54
146,3977,188.85,CARNE,48,false,2,102,57,51
147,7560,155.734,RISO,30,true,3,41,58,53
148,9597,269.393,PASTA,46,false,2,181,43,59
149,1331,86.012,RISO,26,true,4,17,58,46
150,3430,186.691,PESCE,42,false,1,85,39,51
151,6752,117.377,PASTA,37,true,2,18,66,49
152,6301,68.298,RISO,22,true,3,20,61,48
153,1757,446.776,PASTA,20,false,3,337,21,51
154,3842,177.281,CARNE,33,false,4,143,28,54
155,5545,96.636,RISO,30,true,3,20,65,51
156,1021,112.529,PESCE,40,false,2,31,47,45
157,8710,556.456,PASTA,24,false,4,439,31,43
158,6788,69.007,CARNE,14,true,2,54,77,57
159,5046,177.495,RISO,27,false,1,100,47,49
160,3487,48.895,CARNE,25,true,1,15,79,61
161,6452,139.191,PESCE,44,true,4,20,65,51
162,4039,235.308,RISO,28,false,5,164,21,43
163,5104,121.871,CARNE,12,false,3,109,44,47
164,9793,243.797,PASTA,58,false,3,72,49,41
165,8616,148.568,RISO,24,false,1,97,39,53
166,1892,162.208,PESCE,40,false,2,79,47,45
167,2474,130.953,CARNE,28,false,5,102,34,44
168,3245,112.261,PESCE,30,false,1,53,48,48
169,4130,159.001,RISO,36,false,1,81,44,49
170,9853,328.844,PASTA,55,false,3,171,41,46
171,9351,64.248,CARNE,46,true,2,3,83,62
172,4851,264.203,PASTA,23,true,5,93,39,42
173,8334,100.676,RISO,32,false,4,39,27,35
174,7343,54.016,RISO,10,true,2,13,62,47
175,3536,142.039,PESCE,49,false,2,38,51,43
176,3640,92.849,PESCE,15,true,5,32,49,40
177,8955,301.673,PASTA,39,false,1,127,45,46
178,1691,202.033,RISO,34,false,5,131,23,39
179,7919,79.112,CARNE,54,true,1,24,91,71
180,6733,162.408,PESCE,38,false,5,103,38,38
181,2709,209.734,PASTA,35,true,1,6,70,53
182,1774,109.335,CARNE,21,false,4,53,36,34
183,2538,162.862,PESCE,13,false,3,113,25,38
184,7464,53.016,CARNE,12,true,5,21,47,38
185,3447,33.076,RISO,28,true,3,4,77,58
186,9676,221.937,PASTA,46,false,1,55,34,37
187,1686,193.264,PESCE,39,false,5,106,25,38
188,6840,84.85,RISO,45,true,5,12,74,56
189,8543,299.638,PASTA,52,false,4,126,22,38
190,6492,183.917,PESCE,50,false,4,87,41,42
191,6610,186.349,PASTA,10,true,2,9,42,37
192,3809,76.313,RISO,49,true,3,1,79,59
193,9277,213.295,PASTA,17,true,3,63,46,43
194,1415,170.093,PESCE,31,false,4,88,40,37
195,2483,222.58,PASTA,30,true,5,80,35,42
196,3703,57.463,CARNE,52,false,1,4,70,53
197,4702,73.155,PESCE,48,false,2,17,57,43
198,7540,122.548,RISO,59,false,5,28,40,38
199,8923,191.263,PASTA,54,true,3,29,54,44
200,9630,183.029,PASTA,11,true,2,62,42,40
201,9362,89.537,PESCE,43,true,1,3,87,65
202,7649,131.996,CARNE,44,false,5,87,47,46
203,2952,145.172,RISO,54,true,2,3,79,59
204,1531,214.652,PASTA,31,true,3,73,45,43
205,9051,189.768,PESCE,38,false,4,85,36,39
206,9153,226.68,PESCE,19,false,5,171,24,46
207,9505,173.999,RISO,44,false,4,80,32,39
208,4203,125.532,RISO,14,true,2,51,63,54
209,8633,363.621,PASTA,58,false,4,182,24,43
210,9669,125.529,PESCE,30,true,3,44,65,54
211,6467,92.806,CARNE,34,false,1,58,63,55
212,1458,192.611,RISO,15,false,4,176,27,55
213,1171,165.745,PESCE,15,true,4,77,54,45
214,8278,311.742,PASTA,17,true,5,141,29,41
215,8828,80.633,CARNE,21,true,3,58,74,64
216,7189,199.237,RISO,28,false,4,157,32,55
217,3828,351.89,PASTA,29,false,2,206,29,42
218,2352,232.622,PESCE,48,false,3,110,45,38
219,6217,98.733,RISO,23,true,4,74,64,57
220,3285,164.38,PASTA,25,true,3,47,56,47
221,5772,190.068,PESCE,17,true,4,94,48,48
222,7180,121.24,CARNE,45,true,3,56,84,70
223,4290,230.793,PASTA,21,true,3,111,48,53
224,5671,123.318,RISO,11,false,3,111,37,47
225,7849,259.309,PESCE,28,false,3,165,37,45
226,7218,207.12,PASTA,33,true,3,92,46,52
227,5550,97.41,RISO,50,true,3,39,79,65
228,6581,165.03,PESCE,44,true,2,55,69,59
229,4000,117.81,CARNE,44,false,4,73,45,49
230,6517,229.685,PASTA,34,true,4,111,41,51
231,4594,163.332,PASTA,25,true,2,49,54,47
232,2130,107.484,RISO,49,true,2,57,84,69
233,4522,296.637,PASTA,11,true,5,174,34,48
234,7003,274.011,PESCE,44,false,3,142,37,47
235,2713,101.106,CARNE,54,false,4,46,56,48
236,3361,216.107,PASTA,51,true,4,64,55,50
237,7781,307.379,PESCE,50,false,4,152,28,46
238,1170,429.04,PESCE,14,false,4,323,27,45
239,4093,112.248,CARNE,35,true,1,34,83,66
240,3201,195.351,PASTA,33,true,2,42,51,41
241,9178,121.851,RISO,50,true,3,71,86,71
242,7955,229.321,PASTA,31,true,4,81,47,46
243,8507,105.505,RISO,15,true,2,73,70,59
244,7578,193.125,PESCE,54,true,3,37,68,55
245,3297,161.023,CARNE,56,true,4,71,70,67
246,8890,127.656,RISO,35,true,4,78,68,57
247,9134,319.28,PESCE,34,false,5,232,16,47
248,9654,171.138,CARNE,29,true,2,60,69,59
249,7850,244.319,PASTA,53,true,3,75,54,48
250,3444,149.4,RISO,38,false,1,80,51,54
251,7918,175.5,CARNE,33,true,1,57,69,58
252,7770,269.303,PESCE,57,false,5,175,25,53
253,2908,457.289,PASTA,49,false,5,243,22,37
254,4076,180.051,CARNE,20,true,1,78,64,58
255,1210,143.569,PESCE,13,true,3,84,58,60
256,5652,208.731,CARNE,26,true,3,101,56,50
257,8816,286.07,PASTA,38,false,3,184,28,55
258,3337,155.755,PESCE,38,true,2,90,73,66
259,8197,154.707,RISO,50,true,2,104,91,81
260,2479,270.178,CARNE,28,true,5,168,54,53
261,6935,198.546,PASTA,25,true,3,74,63,57
262,3988,401.135,PESCE,21,false,4,379,23,52
263,8101,380.345,PESCE,20,false,5,347,17,48
264,4698,219.104,RISO,35,false,5,139,37,51
265,2690,249.197,CARNE,40,true,5,129,45,53
266,2948,113.71,PESCE,16,true,4,74,54,50
267,7619,188.253,PASTA,45,true,3,81,64,59
268,8218,178.179,RISO,42,false,4,135,38,50
269,2576,241.724,CARNE,47,true,5,97,48,49
270,8240,158.649,PESCE,38,false,3,120,48,51
271,8310,131.367,RISO,26,true,3,66,70,61
272,2041,290.15,CARNE,19,true,5,168,37,56
273,7967,212.696,PASTA,55,true,2,76,73,62
274,4307,112.107,RISO,12,true,4,49,52,46
275,6119,121.692,PESCE,44,true,1,77,87,75
276,8539,342.735,CARNE,32,false,4,219,20,45
277,3384,216.132,RISO,28,false,3,151,44,49
278,4239,243.626,CARNE,12,false,3,204,17,53
279,9899,251.132,PASTA,43,true,1,101,73,63
280,4454,196.187,CARNE,17,false,2,147,24,53
281,6681,224.888,PASTA,28,true,3,79,57,53
282,4577,173.584,PESCE,56,false,3,93,55,54
283,4756,264.103,CARNE,36,false,5,199,24,43
284,6132,241.056,PASTA,48,true,5,103,49,55
285,4450,126.398,RISO,39,true,3,86,82,72
286,9485,193.44,PESCE,56,false,4,83,43,43
287,6352,237.475,PASTA,29,true,3,87,51,48
288,9426,131.954,CARNE,55,true,1,42,85,67
289,4297,166.899,PESCE,16,true,4,56,54,48
290,5838,184.679,PASTA,15,true,2,59,50,45
291,8304,255.428,PESCE,32,true,2,115,70,67
292,4674,169.278,CARNE,41,true,5,74,59,54
293,3572,422.927,PASTA,29,false,4,302,26,39
294,6021,167.455,PESCE,18,true,5,103,43,51
295,7927,274.562,PASTA,21,false,2,181,26,44
296,4662,160.358,PESCE,20,true,5,90,44,48
297,5816,207.974,CARNE,47,true,5,92,61,57
298,8231,345.256,PASTA,32,false,4,254,27,45
299,1122,319.917,PESCE,27,false,4,254,38,44
300,8126,199.063,CARNE,16,true,4,95,54,48
301,1529,126.436,RISO,54,false,4,71,56,51
302,6154,94.751,PESCE,36,true,1,57,84,70
303,1575,150.478,PASTA,43,true,1,64,80,68
304,2208,147.825,RISO,25,false,1,76,53,50
305,2945,114.388,PESCE,23,true,4,58,64,56
306,5398,216.242,CARNE,57,true,2,69,74,63
307,7683,1611.618,PASTA,20,false,5,1590,24,53
308,9670,175.25,RISO,47,true,5,72,61,54
309,6681,168.381,RISO,18,true,2,55,58,50
310,2949,104.309,PASTA,48,false,2,55,57,50
311,8862,242.844,PESCE,59,false,4,162,38,54
312,4356,241.595,CARNE,59,true,5,64,53,48
313,7128,1770.353,PASTA,12,false,4,1757,26,49
314,6139,290.612,PESCE,17,false,3,194,26,50
315,5973,374.002,CARNE,21,false,2,177,39,44
316,2975,101.878,PASTA,20,true,4,73,62,56
317,4447,201.381,RISO,59,false,2,93,48,53
318,3428,335.283,CARNE,33,false,2,181,38,53
319,6073,137.237,PASTA,30,false,3,106,45,47
320,5731,186.413,PESCE,46,false,3,126,44,56
321,5005,1032.98,PESCE,19,false,5,1000,10,48
322,2260,235.49,CARNE,33,true,1,91,63,59
323,4391,188.585,PESCE,16,false,3,145,32,47
324,2399,264.273,RISO,53,false,4,153,36,53
325,3898,178.629,RISO,23,true,1,65,72,63
326,8028,163.83,PESCE,35,false,5,120,37,43
327,1469,265.874,CARNE,46,true,4,105,53,54
328,9269,106.125,PASTA,47,false,1,58,68,59
329,2447,219.699,RISO,37,true,5,75,57,52
330,4705,217.189,CARNE,43,true,1,63,67,57
331,8197,161.709,PESCE,59,true,2,95,81,79
332,7389,103.965,PASTA,30,true,3,73,78,69
333,1913,221.46,CARNE,28,true,5,80,41,46
334,6746,242.38,RISO,45,false,4,134,26,42
335,3939,102.681,PASTA,14,true,1,87,75,68
336,2348,160.871,PESCE,28,true,4,76,66,54
337,9514,531.646,CARNE,26,false,2,366,35,51
338,6664,132.917,PASTA,21,false,4,111,36,47
339,9195,172.63,PESCE,31,false,5,127,35,42
340,1656,256.041,CARNE,29,true,3,87,51,50
341,5436,182.04,RISO,55,true,1,71,85,71
342,5906,113.324,PESCE,24,false,1,89,52,49
343,2341,148.765,PASTA,56,true,4,83,77,67
344,5077,327.236,RISO,30,false,5,213,15,46
345,8809,245.492,CARNE,47,true,3,72,51,48
346,5628,128.755,PESCE,37,false,2,75,52,49
