uuid,secs,id,type,thread,state
p45,335875351615800,0,0,producer,begin
p45,335875351707000,7291,PESCE,producer,end
c37,335876062422800,0,0,consumer,begin
c37,335876063616300,7291,PESCE,consumer,end
p46,335876752679900,0,0,producer,begin
p46,335876753442200,7291,PESCE,producer,end
ch19,335877013027400,0,0,checker,begin
ch19,335877013873100,0,0,checker,end
c38,335877064493600,0,0,consumer,begin
c38,335877066854500,7291,PESCE,consumer,end
p47,335877454882400,0,0,producer,begin
p47,335877455102400,7291,PESCE,producer,end
c39,335878068434500,0,0,consumer,begin
c39,335878068851000,7291,PESCE,consumer,end
p48,335878156370400,0,0,producer,begin
p48,335878156647400,7291,PESCE,producer,end
ch20,335879014417800,0,0,checker,begin
ch20,335879014802200,0,0,checker,end
c40,335879069938900,0,0,consumer,begin
c40,335879071522800,7291,PESCE,consumer,end
p49,335879558236300,0,0,producer,begin
p49,335879558412000,7291,PESCE,producer,end
c41,335880072642300,0,0,consumer,begin
c41,335880073305300,7291,PESCE,consumer,end
p50,335880259740400,0,0,producer,begin
p50,335880259819500,7291,PESCE,producer,end
ch21,335881016734900,0,0,checker,begin
ch21,335881017128400,0,0,checker,end
c42,335881075387000,0,0,consumer,begin
c42,335881075960800,7291,PESCE,consumer,end
p51,335881661245900,0,0,producer,begin
p51,335881661428200,7291,PESCE,producer,end
c43,335882078042500,0,0,consumer,begin
c43,335882079009500,7291,PESCE,consumer,end
p52,335882361945500,0,0,producer,begin
p52,335882362014200,7291,PESCE,producer,end
ch22,335883017266100,0,0,checker,begin
ch22,335883019336200,0,0,checker,end
c44,335883079890000,0,0,consumer,begin
c44,335883081872700,7291,PESCE,consumer,end
p53,335883764205800,0,0,producer,begin
p53,335883764409900,7291,PESCE,producer,end
c45,335884082734200,0,0,consumer,begin
c45,335884083919000,7291,PESCE,consumer,end
p54,335884466181100,0,0,producer,begin
p54,335884466384100,7291,PESCE,producer,end
ch23,335885019811200,0,0,checker,begin
ch23,335885023903600,0,0,checker,end
c46,335885085207300,0,0,consumer,begin
c46,335885087196400,7291,PESCE,consumer,end
p55,335885168957500,0,0,producer,begin
p55,335885170010000,7291,PESCE,producer,end
c47,335886088725700,0,0,consumer,begin
c47,335886090134400,7291,PESCE,consumer,end
p56,335886572290000,0,0,producer,begin
p56,335886574007400,7291,PESCE,producer,end
ch24,335887024033200,0,0,checker,begin
ch24,335887025871700,0,0,checker,end
c48,335887092537900,0,0,consumer,begin
c48,335887093770000,7291,PESCE,consumer,end
p57,335887275866200,0,0,producer,begin
p57,335887275950300,7291,PESCE,producer,end
c49,335888094315900,0,0,consumer,begin
c49,335888095875700,7291,PESCE,consumer,end
p58,335888677617400,0,0,producer,begin
p58,335888677974700,7291,PESCE,producer,end
ch25,335889026215500,0,0,checker,begin
ch25,335889026809300,0,0,checker,end
c50,335889097304300,0,0,consumer,begin
c50,335889098162600,7291,PESCE,consumer,end
p59,335889378794200,0,0,producer,begin
p59,335889379170300,7291,PESCE,producer,end
c51,335890098542500,0,0,consumer,begin
c51,335890099440400,7291,PESCE,consumer,end
p60,335890780685400,0,0,producer,begin
p60,335890780783600,7291,PESCE,producer,end
0cu1,335890990582500,1494,RISO,cuoco_riso,end
0cu2,335890990742300,0,0,cuoco_riso,begin
ch26,335891026904800,0,0,checker,begin
ch26,335891027214600,0,0,checker,end
c52,335891100582400,0,0,consumer,begin
c52,335891101833800,7291,PESCE,consumer,end
c53,335892103622800,0,0,consumer,begin
c53,335892104731900,9281,PESCE,consumer,end
p61,335892181864400,0,0,producer,begin
p61,335892182093900,9281,PESCE,producer,end
